title;author;publicationyear;isbn;europrice;stock
La Discipline des orphelins;M. Mélissa Dupuy;1993;367-2-1536-6974-3;71.38;1
Über das Studium der griechischen Poesie;Nathalie Marl;2015;062-2-5244-2030-4;84.13;8
La Peau des savants;M. Camille Barre;1960;291-4-1092-4352-1;52.75;2
A Passage to India;Arnold Reichert;2000;834-9-4703-6495-2;74.90;7
L'Odyssée invisible;Noémie Gauthier;1943;500-3-2864-4125-6;91.72;1
Berlin Alexanderplatz;Baron Ann von Greb;2011;180-7-5932-8642-1;36.96;2
La progéniture du mal;Noa Garcia;1947;522-0-6628-8331-7;74.67;7
Der Goldene Topf;Alexis von Kaul;2001;829-7-4650-6647-9;00.00;2
L'Odyssée invisible;M. Nathan Lemaire;1963;747-6-9445-7543-7;23.09;6
The Needle's Eye;Juwan Kuphal;1963;136-5-0872-3142-6;89.49;0
Le Couloir de tous les mépris;Mme Clémence Bertrand;1949;850-9-1203-4032-3;08.02;9
Ende einer Dienstfahrt;Fr. Damien Kasten;1997;330-9-9249-7077-4;87.78;2
La Soumission comme passion;Marty Thomas;1964;366-7-0950-5458-5;93.21;9
Schachnovelle;Prof. Dr. Svea Mühleis;1945;323-9-5630-8301-2;95.39;2
La Promise du voyeur;Barbier Ethan;2000;023-2-1177-5115-5;03.22;0
I Will Fear No Evil;Randy Fahey;2013;039-6-4442-5079-0;16.49;2
Le Siècle de la rue voisine;Dr Alexandre Gautier;2011;378-7-2760-9394-1;74.73;8
Die verlorene Ehre der Katharina Blum;Domenik Emmelmann;1992;201-5-8820-9222-5;82.87;1
La Promesse du voyeur;Nathan Pierre;2001;458-7-2842-9328-2;78.41;4
Der Tod in Venedig und andere Erzählungen;Ole Hessler;1956;968-8-1186-3803-2;05.40;2
Le Couloir de tous les mépris;Jeanne Simon;1971;372-1-0995-2911-2;13.68;2
Sleep the Brave;Kathleen Raynor;1985;908-7-9693-9353-2;99.75;9
La Discipline des orphelins;M. Valentin Julien;2000;341-0-2375-9177-3;47.36;4
Der Tor und der Tod;Valentin Ekpo;2018;978-9-7271-5247-6;32.29;5
La Peau des savantes;Brunet Sarah;1960;906-9-8784-7898-5;68.18;5
Ein fliehendes Pferd;Keanu Schwarz;2017;036-0-0310-7928-1;17.09;7
La Peau des savants;Carla Leroux;1949;719-0-7688-7995-6;80.56;6
When the Green Woods Laugh;Nyah Sauer;2015;910-2-0245-9334-9;35.40;8
Le Siècle de la rue voisine;Mme Rayan Morel;1958;103-5-1674-6779-8;69.71;8
Winnetou;Baronin Selin zu Gabius;2002;537-2-7598-9705-3;15.20;6
La Discipline des orphelins;Clément Durand;2005;164-8-6914-1713-9;34.35;2
Biedermann und die Brandstifter;Mailin Stengel;1960;431-2-5673-6164-0;70.07;6
Le Désir des femmes fortes;Mathieu Noémie;1956;739-4-0805-2972-9;53.21;6
Things Fall Apart;Vincenza Bailey;1973;710-9-8095-2463-7;85.55;1
La Peau des savants;Olivier Mathilde;2006;046-3-0028-9014-3;38.03;7
Faserland;Freiherrin Janosch Steffen;1956;407-0-2031-7092-4;48.56;5
La Promise du voyeur;Dr Benjamin Pierre;2006;995-5-9182-4565-7;65.83;3
Wilhelm Meisters Wanderjahre oder die Entsagenden;Prof. Dr. Gustav Scheer;1953;966-0-4893-1312-4;06.63;9
Pourquoi je mens ?;Mlle Lena Benoit;2003;592-9-0760-5742-7;97.49;4
Jacob Have I Loved;Gracie Dooley I;1950;077-1-9842-1953-3;85.74;7
La Soumission comme passion;Lilou Fontaine;2015;839-6-0728-3414-4;40.43;4
Der Tor und der Tod;Emilia Schmalzle;1993;939-4-4053-2493-9;75.55;6
Pourquoi je mens ?;Mohamed Gonzalez;2019;289-5-2911-6140-9;55.41;0
Frühlings Erwachen;Rahel Gaba;2015;852-2-2603-5521-4;78.91;5
Pourquoi je mens ?;Julie Dubois;1942;833-0-2719-0527-7;38.76;9
Nectar in a Sieve;Francisco Roob;2011;561-7-4026-2574-4;32.68;1
La Peau des savants;M. Juliette Picard;2006;231-1-2663-6919-5;21.32;7
Im Krebsgang;Maddox von der Aigner;2003;399-8-9531-7278-7;99.12;1
Pourquoi je mens ?;Noah Richard;2018;516-7-0483-2712-1;52.05;8
Der Ausflug der toten Mädchen;Graf Lino von der Schönbeck;1963;813-0-8897-8147-3;99.55;8
Le Siècle de la rue voisine;Maëlle Guyot;2018;861-7-7115-5468-3;77.00;8
That Good Night;Kylie Towne Jr.;1989;768-2-7409-3339-1;69.96;0
Pourquoi je mens ?;Dr Lou Roy;1940;804-0-0039-8209-0;50.05;9
Dantons Tod;Samantha Martel;2009;839-6-7721-9783-8;68.67;4
La Discipline des orphelins;Louna Blanchard;1941;927-7-6764-4575-4;60.24;4
Unterhaltungen deutscher Ausgewanderten;Hr. Natalie Bruder;1996;350-3-1800-5385-6;48.94;7
La Discipline des orphelins;Mme Pauline Deschamps;1984;158-7-0360-0320-0;91.02;9
That Good Night;Elsie Schoen Sr.;1951;571-7-2770-8187-9;83.96;0
La Soumission comme passion;Prof Adrien Perrin;1944;019-2-4468-0662-7;92.17;6
Lerne lachen ohne zu weinen;Cedrik Motchebon;2001;387-5-2658-9495-7;06.49;0
Le Siècle de la rue voisine;Quentin Barbier;1994;953-7-3886-8192-3;46.23;4
Mephisto;Aurora Morgenstern;2008;085-3-4709-8392-6;60.61;8
La Discipline des orphelins;Riviere Evan;2006;154-7-6453-2453-5;67.38;9
Oh! To be in England;Miss Lilliana Dietrich;1972;852-7-1730-3117-4;42.24;4
L'Odyssée invisible;Meyer Maëlle;1954;078-1-5663-3831-7;83.41;6
Winnetou;Baron Adriano Keil;2010;074-9-4818-3308-7;55.58;3
Le Désir des femmes fortes;Renard Valentin;1968;211-8-2262-4555-4;93.17;9
Jahrestage;Graf Jasmina Liebach;1957;170-4-5609-7815-9;03.36;7
Le Siècle de la rue voisine;Carla Bourgeois;1970;541-7-9879-1193-7;83.59;7
A Darkling Plain;Sasha Nolan II;2003;325-3-6920-7704-0;00.78;4
Le Désir des femmes fortes;Huet Louise;2007;893-9-7709-9458-0;43.69;4
Die Erschiessung des Landesverräters Ernst S.;Joline zu Hetzler;1977;933-3-9264-8734-8;88.15;1
Le Désir des femmes fortes;Alice Julien;1982;360-3-4575-9500-6;37.03;1
Im Westen nichts Neues;Graf Ali Volk;2013;841-6-4940-6937-9;84.16;5
Pourquoi je mens ?;Mercier Adrien;2002;053-9-1639-5809-7;55.05;5
Of Human Bondage;Rolando Lehner;2002;608-4-4816-3895-0;22.45;4
L'Odyssée invisible;Mlle Antoine Philippe;1988;252-9-8611-9678-3;49.18;9
Biedermann und die Brandstifter;Janin Erhardt;2011;953-8-5685-3685-7;81.43;8
