title;author;publicationyear;isbn;europrice;stock
La Promise du voyeur;Jules Charpentier;2009;191-4-5501-4544-1;41.66;1
Die verlorene Ehre der Katharina Blum;Marissa Da;1998;215-0-5568-1140-2;68.84;9
L'Odyssée invisible;Paris Raphaël;1971;096-8-2221-1052-1;52.36;8
Tödliche Versprechen/Das Imperium der Wölfe;Prof. Dr. Dr. Carlotta Eisenlauer;1976;410-1-8349-4775-8;21.47;7
La Promise du voyeur;Chloé Prevost;2014;159-2-3321-0710-8;61.23;7
Mother Night;Lessie Abbott DDS;1977;911-7-1837-9063-3;34.16;6
La Discipline des orphelins;Richard Mathéo;1963;667-6-4920-5406-5;18.43;8
Maria Stuart;Amina Schuster;1971;546-5-0104-8908-7;03.90;1
La Promise du voyeur;Pauline Guerin;2012;033-7-9987-5731-2;54.68;8
Der arme Spielmann;Graf Niclas vom Rosenauer;2011;388-5-0797-0342-9;44.51;9
Le Siècle de la rue voisine;Maëlle Legrand;1978;535-7-6306-8051-8;47.96;8
The Painted Veil;Keara Koss;2017;506-3-9823-0893-2;61.51;5
Le Couloir de tous les mépris;Carla Guillot;1958;165-9-8069-7722-0;32.17;0
Der Richter und sein Henker;Joanna Fitschen;1963;407-6-1717-8018-9;20.96;1
La Discipline des orphelins;M. Justine Leclerc;2019;621-6-0834-4386-9;23.21;7
Wilhelm Meisters Wanderjahre oder die Entsagenden;Anna Lott;2007;584-9-9928-2769-6;45.32;3
L'Odeur du sanglier;Vidal Maxence;2016;134-5-7016-1922-1;12.80;9
Noli Me Tangere;Alexandro Baumbach;1954;220-8-0744-8267-7;34.16;8
La Soumission comme passion;Zoe Louis;2004;238-3-0080-0218-7;70.89;8
Die unendliche Geschichte;Freiherrin Collin Uibel;1950;595-2-2102-4448-9;94.79;8
L'Odyssée invisible;Alice Royer;2010;241-0-2466-3915-2;63.87;2
Winnetou II;Lenny Dittmer;1979;658-4-5813-4915-3;11.92;0
L'Odyssée invisible;Prof Alice Carre;2008;175-6-5090-8820-6;12.14;7
Where Angels Fear to Tread;Shad Hand;1964;783-5-0335-9133-9;91.41;0
L'Odyssée invisible;Mathieu Lisa;2002;885-9-0370-4427-3;45.57;5
Maria Stuart;Fr. Hussein Sokolowski;1992;893-7-5664-2811-7;30.54;8
Le Désir des femmes fortes;Morel Antoine;1990;642-8-8186-5211-8;95.72;0
Der Prozess;Luis Smieja;1975;901-6-1124-2138-6;40.20;7
Le Couloir de tous les mépris;Clémence Gerard;2000;740-2-0368-6559-0;74.29;0
Cover Her Face;Vesta Wolff DDS;1963;707-2-7284-2433-2;47.25;5
La progéniture du mal;Arthur Petit;1959;608-9-1544-7342-3;06.29;1
Heidi;Lina Schult;2018;196-1-8676-8178-7;55.97;8
Le Couloir de tous les mépris;Meyer Alexis;2001;288-2-9912-0752-2;82.54;2
Tauben im Gras;Tim Mockenhaupt;2014;512-1-6749-2351-5;52.61;4
Pourquoi je mens ?;Mme Océane Nicolas;1989;595-6-9375-8021-8;21.52;0
Tiger! Tiger!;Jaron Collier;2015;259-2-7700-2786-8;27.71;0
L'Odeur du sanglier;Tom Charles;2006;671-6-8545-0533-6;98.44;2
