title;author;publicationyear;isbn;europrice;stock
Le Couloir de tous les mépris;Clément Lucas;1961;701-0-9948-9603-8;49.37;1
Behold the Man;Randi Reinger;1981;469-2-2353-8860-4;85.11;6
Le Siècle de la rue voisine;Louis Julien;1972;794-9-9859-7389-6;30.40;6
Die Box;Prof. Sinja Nabein;1974;775-8-6442-1267-8;49.01;3
La Discipline des orphelins;Prof Léo Gaillard;2009;496-4-5087-8265-5;84.82;9
Der Stechlin;Lucas Maisch;2014;435-4-7560-8243-4;73.70;8
La Peau des savants;Kylian Guillaume;1965;835-4-6916-5201-7;96.73;7
In Death Ground;Hailie Crooks;1994;719-2-3936-9170-4;98.52;7
La Peau des savants;Hugo Noel;2003;392-3-9997-8223-2;01.54;5
Franziska Linkerhand;Mick Soboll;2008;001-6-2964-7215-5;26.18;9
La Discipline des orphelins;Mme Anaïs Breton;2007;696-2-8913-2492-7;60.84;5
Heinrich von Ofterdingen;Tim Heuck;2000;416-3-4974-8670-0;38.18;0
Le Désir des femmes fortes;Paris Océane;2001;753-3-5767-0306-4;22.41;4
Butter In a Lordly Dish;Stewart Sauer;1953;577-4-2108-3355-2;03.34;2
Le Couloir de tous les mépris;Mme Chloé Gerard;2017;870-6-0243-2872-6;99.18;5
Der Mann ohne Eigenschaften;Dipl.-Ing. Tamara Briesenick;2011;234-9-5096-6687-8;62.70;6
L'Odeur du sanglier;M. Sacha Maillard;1979;655-2-5100-3433-2;38.81;4
Mephisto;Tabea von Geisler;2019;296-3-0748-7779-5;79.94;5
La Discipline des orphelins;Mlle Lina Robert;1981;114-6-9016-8371-8;15.41;6
The Moon by Night;Gwendolyn Hilpert;2014;466-7-5900-0849-9;94.38;3
La progéniture du mal;Andre Louise;1992;950-6-3956-7217-8;48.41;3
Der Tod in Venedig und andere Erzählungen;Chiara Graf;2015;270-6-9454-3544-0;23.87;7
L'Odyssée invisible;Mme Clara Picard;1941;925-9-9809-9150-3;20.50;1
Lenz;Chayenne vom Lewin;1952;716-8-0598-1391-3;73.68;5
Le Siècle de la rue voisine;Petit Lucie;1944;860-1-5978-7940-7;40.60;3
The Doors of Perception;Ola Kozey IV;2008;240-1-9482-4913-6;49.85;9
Le Siècle de la rue voisine;Jacquet Mathilde;1976;953-4-6833-0360-6;74.33;2
Frühlings Erwachen;Gräfin Maira von Fehrig;1977;829-2-6075-2743-7;69.64;2
La Soumission comme passion;Mlle Jeanne Jean;1971;842-0-9737-1318-1;72.39;0
Jedermann;Freiherr Ida Bouschen;2013;388-3-6441-4329-9;24.68;9
L'Odeur du sanglier;Dr Lucas Maillard;2017;870-8-9445-1291-2;87.45;4
Vile Bodies;Kaley McCullough;2003;764-4-7654-5228-6;81.65;6
La progéniture du mal;Lilou Sanchez;1948;626-3-9933-2782-3;48.87;9
Maria Stuart;Cindy Hügel;2017;881-7-6057-5885-5;58.78;4
Le Désir des femmes fortes;Maëlys Martinez;2004;711-3-3930-7978-3;31.33;7
Lerne lachen ohne zu weinen;Tim Moguenara;1959;380-7-8447-0996-6;36.88;4
La progéniture du mal;Prof Eva Meyer;1977;003-3-5183-9506-7;02.00;2
Bury My Heart at Wounded Knee;Ms. Tyson Jakubowski;1976;576-3-1868-3533-3;60.50;8
La Soumission comme passion;M. Ines Garnier;1965;148-9-9665-8565-9;80.02;4
Biedermann und die Brandstifter;Norman Zeuch;2001;983-9-4521-9087-0;57.64;2
La Promise du voyeur;Prof Marie Nicolas;2005;329-5-7679-2552-2;24.81;5
Der Richter und sein Henker;Prof. Dr. Marko Restle;1974;726-6-6890-6058-2;46.52;2
L'Odeur du sanglier;Joly Raphaël;1965;230-8-1031-5641-3;54.36;0
Jesting Pilate;Kaylah Yost;1943;104-1-6701-8528-0;38.41;5
La Peau des savants;Mlle Alicia Legrand;2013;429-1-1285-0345-4;20.64;8
Der Stellvertreter;Dr. Joyce Hermecke;1962;465-0-6164-4062-7;89.16;7
Le Couloir de tous les mépris;Antoine Rousseau;1946;499-1-7230-9373-4;19.32;8
Der Mann ohne Eigenschaften;Lisanne von der Haaf;1954;295-8-6733-4929-5;33.15;8
La Discipline des orphelins;Rousseau Lucie;2014;219-2-9529-9608-8;74.43;0
No Longer at Ease;Dr. Lucy Wehner;2019;506-2-1713-7766-3;79.82;4
L'Odyssée invisible;M. Louis Schmitt;1992;696-3-9538-0261-3;14.27;2
Der Brief des Lord Chandos;Freiherr Jonte Preuss;2012;718-5-6672-1550-6;54.32;4
La Promise du voyeur;Richard Maëlys;2015;723-6-5333-1097-8;51.04;9
Der Brief des Lord Chandos;Graf Justus Mayer;1978;536-7-1192-4117-2;45.50;6
La Promise du voyeur;Leroux Lina;2015;212-4-8186-1171-2;70.79;6
A Summer Bird-Cage;Jeanne Dibbert;2002;826-9-7894-5821-7;76.88;4
La progéniture du mal;Jade Dupuy;1997;027-5-8296-4485-7;32.74;1
Die Leute von Seldwyla;Marius Busch;1970;960-9-3179-2674-0;81.98;6
La Promise du voyeur;Dumas Maxence;1959;181-0-7156-4173-8;52.01;7
Die Leiden des jungen Werther;Hr. Liana Frisch;2015;462-2-8013-7192-6;19.71;3
