title;author;publicationyear;isbn;europrice;stock
Le Couloir de tous les mépris;Fabre Laura;1966;528-5-0772-1798-1;47.29;0
Ah, Wilderness!;Maxine Ziemann;1952;322-4-9865-7712-1;29.03;5
La Promise du voyeur;Da silva Zoe;2006;085-9-7205-0949-6;91.88;6
Die Buddenbrooks;Alexia Jungton;2017;347-5-4215-7996-4;35.77;9
Le Désir des femmes fortes;Romain Nguyen;2015;134-7-4861-1886-7;48.33;4
Catharina von Georgien;Berat Ostendarp;1949;203-3-2040-3981-4;26.14;4
La progéniture du mal;Dr Maëlys Adam;1986;522-5-2193-1996-0;01.26;9
Rosemary Sutcliff;Colleen Feeney;1945;793-3-9360-4293-8;52.21;7
Le Siècle de la rue voisine;Prof Mohamed Renard;1953;074-2-8528-6504-6;49.03;6
Der Stechlin;Charleen Rose;2014;197-6-4891-8756-7;66.83;4
La progéniture du mal;M. Camille Meunier;1955;846-7-5576-5282-3;66.97;3
Ein fliehendes Pferd;Amy von Bruns;1980;617-7-5538-3809-0;25.59;2
L'Odyssée invisible;Carla Carpentier;2000;964-3-2797-6246-5;33.31;8
Vanity Fair;Dr. Merritt Rodriguez;1972;658-5-8551-6177-4;64.82;4
La Promise du voyeur;Mme Victor Aubry;1949;556-2-3302-4027-2;24.56;3
Lenz;Line Zach;2007;607-5-4029-7624-5;19.01;9
L'Odeur du sanglier;Justine Noel;1961;371-7-1069-8390-8;67.20;4
Franziska Linkerhand;Cosima Heidelmann;2006;899-2-8008-9006-5;48.31;4
La Discipline des orphelins;Paul Dupuis;2009;080-6-4740-6286-0;16.85;3
East of Eden;April Bernhard Jr.;1964;852-2-8881-6216-3;36.51;0
Le Couloir de tous les mépris;Meyer Nicolas;2014;689-1-9180-1942-6;45.14;9
Vor Sonnenaufgang;Freiherrin Esther Müller;1963;211-5-9109-4048-3;36.53;0
Le Désir des femmes fortes;Valentin Vidal;2006;557-6-6784-1653-0;65.78;5
Der grüne Heinrich;Tanja Moedl;2000;129-7-1795-6254-7;21.61;5
Pourquoi je mens ?;Mme Quentin Dufour;1982;956-5-1760-0946-6;68.84;0
Dying of the Light;Helmer Hackett Sr.;1992;599-6-5288-7144-7;42.10;1
La Discipline des orphelins;Julien Dupont;1996;432-4-6824-0616-9;69.52;7
Emilia Galotti;Mert Hesse;2010;620-8-4730-3156-6;83.71;9
Le Couloir de tous les mépris;Mathis Pierre;2017;717-6-5580-3029-8;15.85;8
Der arme Spielmann;Cedric Horna;2012;121-2-7970-9012-1;09.45;7
L'Odyssée invisible;Morel Carla;2002;538-8-4344-3755-7;07.71;5
The Violent Bear It Away;Alan Langosh;2004;208-0-0881-0140-0;62.91;1
L'Odyssée invisible;Lilou Dumont;1964;672-5-7891-6560-4;40.59;2
Italienische Reise;Francesco Bürklein;1970;724-9-9056-2038-1;76.70;1
La progéniture du mal;Kylian Bourgeois;2002;558-8-7341-3645-9;59.11;7
Romeo und Julia auf dem Dorfe;Gianluca Jess;1960;790-8-1682-5205-0;44.44;7
La Discipline des orphelins;Vidal Sacha;1973;401-9-8807-6472-7;82.36;4
The Waste Land;Ms. Alden Walter;2015;255-4-6266-7197-9;09.32;0
La Peau des savants;Mme Lilou Lefebvre;2004;909-2-2623-7545-1;20.28;3
Eiche und Angora;Karina Roggatz;2013;390-1-0120-7227-3;67.37;3
La Discipline des orphelins;Nicolas Robert;1964;877-5-6911-1227-5;28.68;3
Im Westen nichts Neues;Ali Moeller;2015;849-6-7523-1679-4;61.90;1
La Discipline des orphelins;Mlle Lina Nicolas;2006;955-0-1474-2994-6;54.05;8
Let Us Now Praise Famous Men;Ms. Caesar Weber;1987;806-5-0579-2281-1;70.46;5
L'Odeur du sanglier;Mme Benjamin Henry;2013;913-7-0342-4642-7;24.84;3
Der grüne Heinrich;Freiherrin Paulina von der Grube;1955;216-6-4854-7261-4;56.48;2
Le Couloir de tous les mépris;Mme Baptiste Brun;2013;530-0-3062-2596-9;91.14;7
Der Vorleser;Dr. Jan Schwarthoff;2019;219-7-3729-8069-2;33.96;2
La progéniture du mal;Jules Vidal;2010;273-9-9919-4389-2;55.45;6
No Highway;Dr. Al VonRueden;2014;799-9-1074-4188-7;31.52;6
Le Couloir de tous les mépris;Lecomte Thomas;1974;120-6-2432-9319-9;28.65;9
Der arme Spielmann;Chiara Werle;2007;876-2-1855-6764-0;19.23;1
La Soumission comme passion;Prof Pierre Marie;1988;821-8-0657-4305-2;16.70;1
Faust, Part I;Chiara Rehwagen;2009;654-8-4677-1417-2;33.21;0
La progéniture du mal;Paul Roy;2010;850-5-8109-1889-6;15.00;8
Let Us Now Praise Famous Men;Benton Grant;2015;701-7-7938-5014-3;10.57;6
L'Odyssée invisible;Mlle Alicia Da silva;1959;793-2-4674-0678-6;45.04;6
Der Richter und sein Henker;Hr. Fynn Vey;1983;005-7-0067-9879-8;62.73;5
Pourquoi je mens ?;Caron Eva;2005;266-1-4852-9713-5;56.90;5
Die Aufzeichnungen des Malte Laurids Brigge;Ferdinand Krug;1977;520-4-6266-9155-5;25.56;6
Pourquoi je mens ?;Leroy Zoe;1997;854-5-5305-2338-2;91.24;8
Wildfire at Midnight;Candida Carter;1942;755-2-7004-3067-3;39.56;5
L'Odeur du sanglier;Carla Marchal;1977;577-0-2890-6292-8;72.36;0
Franziska Linkerhand;Thalia Lanig;1997;884-2-7912-0291-6;56.59;7
La Peau des savants;Muller Julie;1967;108-6-2306-4286-8;06.26;5
Das Versprechen;Tanja Roschinsky;2003;026-6-2881-5852-6;21.80;9
Le Couloir de tous les mépris;David Louna;1959;301-9-3662-8759-3;36.02;1
The Stars' Tennis Balls;Carissa Strosin;2014;419-1-1275-8611-4;04.20;2
La progéniture du mal;Paul Rousseau;2008;086-6-4261-2778-4;55.04;7
Der Schimmelreiter;Freiherrin Chayenne Osenberg;2007;080-0-3809-2299-3;39.88;0
La Peau des savants;Mlle Nathan Laine;2005;475-8-2117-1027-5;70.53;0
Frühlings Erwachen;Fr. Tobias Storp;1984;851-2-4880-7324-0;36.51;1
La Peau des savants;Dr Pierre Boyer;2010;729-6-8376-7683-6;23.17;4
To Say Nothing of the Dog;Darian West;1979;177-3-5790-8084-5;89.95;0
La Discipline des orphelins;Mathéo Riviere;2005;682-5-7134-0040-2;13.20;4
Die Verwandlung/Erstes Leid;Dr. Kilian Schwandke;2014;740-4-0545-6183-9;55.93;0
La progéniture du mal;Louna Aubert;2015;666-4-7821-0015-9;13.29;5
Leben des Galilei;Gräfin Helene von der Schelk;1972;950-3-3731-1443-0;15.90;3
L'Odyssée invisible;Schmitt Jade;1949;812-1-8931-6655-0;40.60;5
If Not Now, When?;Christophe Abshire DVM;1974;596-5-2949-7422-7;71.76;3
La Peau des savants;Mathéo Fernandez;2014;046-1-3569-2520-6;74.54;0
Der Sandmann;Ylvie Koleiski;1941;435-5-5889-5475-8;43.51;8
La Discipline des orphelins;Lopez Baptiste;2003;229-6-9523-3650-0;75.89;2
Der Spaziergang;Marlen von der Haaf;2010;516-8-5712-1754-7;11.93;1
La Discipline des orphelins;Lecomte Maeva;2012;868-8-1045-0299-2;83.27;1
I Know Why the Caged Bird Sings;Estelle Effertz;2012;019-1-0428-9021-7;35.25;2
La progéniture du mal;Dr Arthur Meyer;1959;447-4-1907-1450-8;98.18;2
Vor Sonnenaufgang;Milo Graf;2002;380-0-2696-2868-7;28.60;7
La Promise du voyeur;Sacha Gaillard;1979;342-3-6189-6310-9;22.58;1
Iphigenie auf Tauris;Gräfin Emilian vom Hamann;1959;496-7-3385-1217-5;72.92;0
Le Désir des femmes fortes;Dumont Louise;2009;972-0-5069-8731-0;92.35;5
Nine Coaches Waiting;Mr. Alba Connelly;1972;015-0-3096-9306-1;15.08;3
La progéniture du mal;Dr Nathan Leclerc;2003;340-5-9684-0616-9;91.04;0
Jedermann;Freiherrin Oliver vom Wolff;1990;284-1-6390-6529-7;40.06;0
